fsd_no;fsd_vr;fsd_id;fsd_li;v1_1;v1_2;v1_3;v1_4;v1_5;v1_6;v2;v3_1;v3_2;v3_3;v3_4;v3_5;v4_1;v4_2;v4_3;v4_4;v5_1;v5_2;v5_3;v5_4;bv1;bv2;bv3_1;bv3_2;bv3_3;bv3_4;bv3_5;bv3_6;bv3_7;bv3_8;bv4;bv5;bv6
3077;2;63;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;1;3;3;3;3;2;1;1;2;1;3;3;1;3;2;68;9; ; ; ; ; ; ; ;4;0;,763241
3077;2;64;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;2;1;2;2;2;2;2;2;1;2;2;2;3;1;1;1;2;58;5; ; ; ; ; ; ; ;3;0;,092547
3077;2;65;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;2;1;2;2;1;2;1;1;3;2;3;2;2;1;2;1;44;1; ; ; ; ; ; ; ;5;0;,58547
3077;2;66;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;2;1;2;2;3;2;2;1;1;3;2;3;3;3;1;2;1;38;8; ; ; ; ; ; ; ;5;0;,701841
3077;2;67;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;1;2;3;2;2;2;1;9;1;3;3;1;2;2;2;77;9; ; ; ; ; ; ; ;5;0;,824874
3077;2;68;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;1;2;2;3;2;2;1;3;3;3;3;1;1;2;1;49;5; ; ; ; ; ; ; ;3;0;,23517
3077;2;69;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;2;2;2;1;3;2;2;1;2;3;3;3;2;1;2;2;2;60;8; ; ; ; ; ; ; ;4;0;,161801
3077;2;70;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;1;2;2;1;3;1;1;1;9;3;2;4;2;1;1;2;2;67;3; ; ; ; ; ; ; ;1;0;,471634
3077;2;71;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;1;1;2;2;4;2;2;2;1;3;4;9;2;2;2;1;2;65;8; ; ; ; ; ; ; ;4;0;,430725
3077;2;72;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;1;2;2;2;2;1;76;4; ; ; ; ; ; ; ;7;0;1,155974
3077;2;73;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;2;1;1;1;3;2;2;2;3;2;2;2;3;2;3;3;1;69;5; ; ; ; ; ; ; ;4;0;1,137506
3077;2;74;(A) openly available for all users without registration (CC BY 4.0);1;2;9;1;1;1;1;2;2;2;2;1;1;2;2;9;3;2;1;2;2;50;8; ; ; ; ; ; ; ;3;0;,288012
3077;2;75;(A) openly available for all users without registration (CC BY 4.0);2;2;9;1;2;2;1;3;3;4;3;2;2;3;3;3;3;2;2;2;2;72;3; ; ; ; ; ; ; ;4;0;,616713
3077;2;76;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;1;1;1;1;2;1;3;1;1;2;1;2;2;3;3;3;1;53;9; ; ; ; ; ; ; ;3;0;,315194
3077;2;77;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;74;3; ; ; ; ; ; ; ;4;0;,136455
3077;2;78;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;1;2;1;2;3;2;2;3;1;2;2;2;2;2;3;1;1;63;6; ; ; ; ; ; ; ;5;0;3,275762
3077;2;79;(A) openly available for all users without registration (CC BY 4.0);1;2;1;9;1;1;1;3;3;4;3;3;2;2;2;2;2;2;3;9;2;63;8; ; ; ; ; ; ; ;4;0;1,156765
3077;2;80;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;1;2;1;2;2;1;1;3;2;4;3;1;1;1;2;63;7; ; ; ; ; ; ; ;4;0;,504961
3077;2;81;(A) openly available for all users without registration (CC BY 4.0);2;2;1;2;2;2;1;2;2;3;2;1;4;2;3;3;3;3;1;4;2;19;9; ; ; ; ; ; ; ;4;0;,363308
3077;2;82;(A) openly available for all users without registration (CC BY 4.0);2;2;1;2;2;2;1;3;3;1;2;1;2;3;2;2;2;2;2;2;2;32;7; ; ; ; ; ; ; ;2;0;,553813
3077;2;83;(A) openly available for all users without registration (CC BY 4.0);2;2;9;1;1;1;1;2;2;2;2;2;9;9;2;4;2;2;9;2;2;81;4; ; ; ; ; ; ; ;4;0;,4595
3077;2;84;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;2;1;1;2;2;2;2;2;3;4;3;1;4;2;3;1;2;84;4; ; ; ; ; ; ; ;4;0;,177695
3077;2;85;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;2;1;2;2;2;1;2;3;3;3;3;2;4;3;3;2;70;2; ; ; ; ; ; ; ;5;0;,732808
3077;2;86;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;1;2;2;2;2;3;1;3;3;4;3;3;1;3;1;1;45;8; ; ; ; ; ; ; ;3;0;2,717528
3077;2;87;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;2;1;1;2;3;2;2;2;2;2;2;2;4;3;2;3;2;56;8; ; ; ; ; ; ; ;3;0;,568489
3077;2;88;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;2;3;3;2;3;2;3;3;3;3;3;3;2;3;1;81;4; ; ; ; ; ; ; ;7;0;,723139
3077;2;89;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;1;2;2;2;2;2;3;3;1;2;1;1;1;2;2;75;2; ; ; ; ; ; ; ;6;0;1,511946
3077;2;90;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;2;1;2;1;4;1;3;2;1;4;3;4;4;1;2;4;1;57;8; ; ; ; ; ; ; ;4;0;,258223
3077;2;91;(A) openly available for all users without registration (CC BY 4.0);2;2;2;9;2;2;1;1;2;3;2;1;1;1;3;3;3;1;3;2;1;48;7; ; ; ; ; ; ; ;4;0;,606634
3077;2;92;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;2;1;54;9; ; ; ; ; ; ; ;3;0;1,070307
3077;2;93;(A) openly available for all users without registration (CC BY 4.0);1;1;2;1;1;1;2;3;2;3;3;1;2;2;2;2;4;2;2;2;2;90;2; ; ; ; ; ; ; ;5;0;1,511946
3077;2;94;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;2;1;2;2;3;2;2;1;2;2;4;3;3;2;2;2;2;35;8; ; ; ; ; ; ; ;4;0;,782498
3077;2;95;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;1;1;1;2;2;2;3;2;3;2;2;1;2;1;1;2;2;57;8; ; ; ; ; ; ; ;9;0;,586443
3077;2;96;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;9;9;3;2;2;2;1;2;2;9;2;3;2;2;2;1;68;8; ; ; ; ; ; ; ;5;0;,181039
3077;2;97;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;2;2;1;3;3;3;3;2;3;3;3;3;2;1;1;2;2;61;5; ; ; ; ; ; ; ;4;0;1,338328
